,Title,Year,imdbID,Rated,Director,Actors,Language,Plot,IMDb_link,Runtime,BoxOffice,IMDb,RT,Meta,poster_path,backdrop_path,Watched,Season
34,Casshern,2004,tt0405821,Not Rated,Kazuaki Kiriya,"Yûsuke Iseya, Kumiko Asô, Akira Terao",Japanese,Live-action sci-fi movie based on a 1973 Japanese animé of the same name (Shinzo Ningen Casshân). Theme song by Utada Hikaru.,https://www.imdb.com/title/tt0405821,142,,6.0,73.0,,/naIjHWfQFge69GqeehgsekwDkbl.jpg,/nOovQqWWrGRkEkefR19syGO5a9i.jpg,True,5.0
35,Chappie,2015,tt1823672,R,Neill Blomkamp,"Sharlto Copley, Dev Patel, Hugh Jackman",English,"In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",https://www.imdb.com/title/tt1823672,120,31569268.0,6.8,32.0,41.0,/hpnuXlKKWznTgbheGe4iQXzkuwJ.jpg,/qX5T5GVAcq2UKaaiAx5SZp1AtlY.jpg,True,2.0
36,Cherry 2000,1987,tt0092746,PG-13,Steve De Jarnatt,"Melanie Griffith, David Andrews, Pamela Gidley",English,"In 2017, a successful businessman travels to the ends of the earth to find that the perfect woman is always under his nose. He hires a sexy renegade tracker to find an exact duplicate of his android wife.",https://www.imdb.com/title/tt0092746,99,,5.6,38.0,59.0,/t3uds00MHLsibhKLCL0BbCEGxXb.jpg,/vjlBasTA8imogIxQLHzsUrCMjJB.jpg,True,1.0
37,Children of Men,2006,tt0206634,R,Alfonso Cuarón,"Julianne Moore, Clive Owen, Chiwetel Ejiofor","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian, Serbian","In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",https://www.imdb.com/title/tt0206634,109,35552383.0,7.9,92.0,84.0,/k9IAS4TehZFcKi4HVByxZNPfqex.jpg,/z8FzomPxfCb2nv827VWLSI6oYiB.jpg,True,8.0
38,Chronicle,2012,tt1706593,PG-13,Josh Trank,"Dane DeHaan, Alex Russell, Michael B. Jordan",English,Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.,https://www.imdb.com/title/tt1706593,84,64575175.0,7.0,85.0,69.0,/xENglsVIIWEEhhB5lgpy33tGcKI.jpg,/rgNzvSagnlc32TuMEBa529QFIig.jpg,True,5.0
39,Class of 1999,1990,tt0099277,R,Mark L. Lester,"Bradley Gregg, Traci Lind, Malcolm McDowell",English,"Three ex-military robots are reprogrammed as teachers and secretly placed in a school where most students are part of organized gangs. They begin to respond violently to unruly students, and their military training starts to take ...",https://www.imdb.com/title/tt0099277,99,2459895.0,5.9,63.0,33.0,/5HkKJhPODjCjVOoGcvHvo7tRgNU.jpg,/lzw4iTwHxQUi3hrP0ziZIhhZtRf.jpg,True,6.0
40,Close Encounters of the Third Kind,1977,tt0075860,PG,Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr","English, French, Spanish, Hindi","Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches.",https://www.imdb.com/title/tt0075860,138,135189114.0,7.6,90.0,90.0,/yaPx3cK9zGFX3SbcKwxWM1QIbUh.jpg,/yBCekmb7vK70xUhtsRQBcTu65sB.jpg,False,8.0
41,Cloud Atlas,2012,tt1371111,R,"Tom Tykwer, Lana Wachowski, Lilly Wachowski","Tom Hanks, Halle Berry, Hugh Grant","English, Spanish, Ukrainian, Korean","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",https://www.imdb.com/title/tt1371111,172,27108272.0,7.4,66.0,55.0,/mxcvshnizr7frjN8WMKPQRJ3LmY.jpg,/rXxsazBqE5DkXhhnc2OJQhu6fkv.jpg,True,5.0
42,Cloverfield,2008,tt1060277,PG-13,Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan","English, Russian, French, Japanese",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.,https://www.imdb.com/title/tt1060277,85,80048433.0,7.0,78.0,64.0,/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,/6ms6RdNcQUAnjBY26aM85xC2wV0.jpg,True,8.0
43,Coherence,2013,tt2866360,Not Rated,James Ward Byrkit,"Emily Baldoni, Maury Sterling, Nicholas Brendon",English,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,https://www.imdb.com/title/tt2866360,89,102617.0,7.2,88.0,65.0,/ezUtb9m5DeLwL2gxi4gktzNCvQv.jpg,/utghtkDDOhwEDS7r9hhRhn7Wneg.jpg,True,3.0
